 ,ImageID,Genotype,FlyNum,Temperature,Stage,StageComment,Nucleus,NucleusComment,PosteriorGap,LateralGap,GapMarker,GapComment,BazookaExclusion,BazookaComment,Par1atPosterior,Par1Comment,AnalystName,AnalysisDate,Camera,Objective,TimeInterval,Timepoints,PixelSize,VoxelSize,Wavelength_Ch1,LP_Ch1,Exposure(s)_Ch1,EMGain_Ch1,Wavelength_Ch2,LP_Ch2,Exposure(s)_Ch2,EMGain_Ch2,Wavelength_Ch3,LP_Ch3,Exposure(s)_Ch3,EMGain_Ch3
65,20200615_MCZ (Z First)6_Oocyte1.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10B,,not visible,,Yes,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,60,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
66,20200615_MCZ (Z First)6_Oocyte2.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10B,,OK,,Yes,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,60,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
67,20200615_MCZ (Z First)6_Oocyte3_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,9,,OK,,No,Yes,Jupiter,,No,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,60,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
68,20200616_MCZ (Z First)_Oocyte1.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,8,,OK,,No,No,Jupiter,,NA,,Yes,,Ana Milas,20201026,ZYLA,40X WI,120 sec,60,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
69,20200616_MCZ (Z First)_Oocyte2.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,11,,not visible,,Yes,Yes,Jupiter,,NA,,No,,Ana Milas,20201026,ZYLA,40X WI,120 sec,60,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
70,20200616_MCZ (Z First)_Oocyte3.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,not visible,,No,Yes,Jupiter,,NA,,Yes,,Ana Milas,20201026,ZYLA,40X WI,120 sec,60,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
71,20200616_MCZ (Z First)1_Oocyte1.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,not visible,,Yes,Yes,Jupiter,,No,,NA,,Ana Milas,20201026,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
72,20200616_MCZ (Z First)1_Oocyte2.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,No,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201026,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
73,20200616_MCZ (Z First)1_Oocyte3.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10A,,not visible,,No,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201026,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
74,20200616_MCZ (Z First)2_Oocyte1.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10B,,not visible,,Yes,Yes,Jupiter,,No,,NA,,Ana Milas,20201026,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
75,20200616_MCZ (Z First)2_Oocyte2.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10B,,OK,,No,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201026,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
76,20200616_MCZ (Z First)2_Oocyte3.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10A,,OK,,No,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201026,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
77,20200616_MCZ (Z First)3_Oocyte1.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10A,,not visible,,No,Yes,Jupiter,,NA,,Yes,,Ana Milas,20201026,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
